,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,souillac,-20.52,57.52,64.4,93,40,4.7,MU,1604285901
1,taltal,-25.4,-70.48,57.52,71,6,5.73,CL,1604285901
2,sao jose da coroa grande,20.51,76.21,72.84,51,0,4.38,IN,1604285902
3,bredasdorp,-34.53,20.04,64.4,82,98,13.87,ZA,1604285902
4,albany,42.6,-73.97,41.0,87,76,1.99,US,1604285902
5,pithapuram,17.12,82.27,80.6,83,20,8.05,IN,1604285902
6,gat,31.61,34.76,69.01,78,100,2.53,IL,1604285882
7,lompoc,34.64,-120.46,64.99,72,1,5.82,US,1604285902
8,arraial do cabo,-22.84,-46.65,57.2,76,75,11.41,BR,1604285902
9,cap-aux-meules,47.38,-61.86,50.0,81,100,17.22,CA,1604285902
10,cherskiy,68.75,161.3,1.44,92,99,5.26,RU,1604285684
11,yellowknife,62.46,-114.35,10.99,85,75,11.41,CA,1604285833
12,dahra,36.25,0.85,57.2,67,0,4.7,DZ,1604285903
13,rikitea,-23.12,-134.97,73.85,86,91,24.32,PF,1604285659
14,castro,-24.79,-50.01,50.34,92,41,10.29,BR,1604285843
15,bambous virieux,-20.26,57.41,71.01,93,40,4.7,MU,1604285903
16,atuona,-9.8,-139.03,77.86,77,92,14.76,PF,1604285826
17,brigantine,39.41,-74.36,48.0,81,1,13.87,US,1604285903
18,vaini,-21.2,-175.2,80.6,78,20,13.87,TO,1604285828
19,hithadhoo,-0.6,73.08,82.17,74,100,7.96,MV,1604285904
20,laguna,38.42,-121.42,68.0,45,1,3.02,US,1604285904
21,husavik,66.04,-17.34,39.2,51,90,6.93,IS,1604285642
22,hilo,19.73,-155.09,84.2,62,40,4.7,US,1604285876
23,ancud,-41.87,-73.82,48.99,87,6,2.24,CL,1604285904
24,longyearbyen,78.22,15.64,35.6,69,0,26.4,SJ,1604285904
25,barrow,71.29,-156.79,26.6,68,40,19.46,US,1604285904
26,victoria,22.29,114.16,82.0,61,100,1.99,HK,1604285796
27,velikooktyabrskiy,57.43,33.82,35.08,88,99,5.84,RU,1604285904
28,talnakh,69.49,88.4,19.4,92,75,4.47,RU,1604285686
29,ixtapa,20.7,-105.2,76.05,85,10,2.48,MX,1604285904
30,kodiak,57.79,-152.41,30.2,42,90,21.92,US,1604285665
31,riyadh,24.69,46.72,59.0,47,0,4.16,SA,1604285905
32,saint-augustin,51.23,-58.65,38.17,79,100,16.31,CA,1604285905
33,teguise,29.06,-13.56,68.0,82,0,6.93,ES,1604285905
34,cine,37.61,28.06,51.8,57,0,4.7,TR,1604285905
35,nanortalik,60.14,-45.24,32.4,89,0,37.65,GL,1604285905
36,touros,-5.2,-35.46,80.6,78,75,11.41,BR,1604285905
37,westport,41.14,-73.36,48.0,78,96,1.01,US,1604285905
38,vao,-22.67,167.48,74.62,82,100,15.68,NC,1604285722
39,jamestown,42.1,-79.24,35.01,86,90,18.34,US,1604285657
40,mataura,-46.19,168.86,55.99,65,53,11.99,NZ,1604285906
41,punta arenas,8.99,125.34,87.73,60,83,3.18,PH,1604285906
42,tuktoyaktuk,69.45,-133.04,12.2,92,90,16.11,CA,1604285906
43,busselton,-33.65,115.33,60.01,83,99,4.9,AU,1604285825
44,rio grande,38.3,21.78,51.8,93,0,0.27,GR,1604285906
45,dikson,73.51,80.55,17.82,97,90,8.88,RU,1604285906
46,ushuaia,-54.8,-68.3,57.2,54,75,4.7,AR,1604285660
47,caledon,-34.23,19.43,61.0,87,95,3.0,ZA,1604285647
48,makushino,55.21,67.24,28.89,97,4,4.88,RU,1604285906
49,port lincoln,-7.03,29.76,71.87,71,99,2.13,CD,1604285907
